JRR Name;Official Name;Region (UN);MENA (JRR);UN Member;DAC list
Mauritius;Republic of Mauritius;Africa: Eastern;0;1;1
Mexico;United Mexican States;Americas: Central;0;1;1
Micronesia;Federated States of Micronesia;Oceania: Pacific Islands;0;1;1
Moldova;Republic of Moldova;Europe: Eastern;0;1;1
Monaco;Principality of Monaco;Europe: Western;0;1;0
Mongolia;Mongolia;Asia: East;0;1;1
Montenegro;Montenegro;Europe: Southern;0;1;1
Morocco;Kingdom of Morocco;Africa: Northern;1;1;1
Mozambique;Republic of Mozambique;Africa: Eastern;0;1;1
Myanmar;Republic of the Union of Myanmar;Asia: South East;0;1;1
Namibia;Republic of Namibia;Africa: Southern;0;1;1
Nauru;Republic of Nauru;Oceania: Pacific Islands;0;1;1
Nepal;Federal Democratic Republic of Nepal;Asia: Southern;0;1;1
Netherlands;Kingdom of the Netherlands;Europe: Western;0;1;0
New Zealand;New Zealand;Oceania: Aus-NZ;0;1;0
Nicaragua;Republic of Nicaragua;Americas: Central;0;1;1
Niue;;Oceania: Pacific Islands;0;1;1
Niger;Republic of the Niger;Africa: Western;0;1;1
Nigeria;Federal Republic of Nigeria;Africa: Western;0;1;1
Norway;Kingdom of Norway;Europe: Northern;0;1;0
Oman;Sultanate of Oman;Asia: Western;1;1;0
Pakistan;Islamic Republic of Pakistan;Asia: Southern;0;1;1
Palau;Republic of Palau;Oceania: Pacific Islands;0;1;1
Papua New Guinea;Papua New Guinea;Oceania: Pacific Islands;0;1;1
Paraguay;Republic of Paraguay;Americas: South;0;1;1
Peru;Republic of Peru;Americas: South;0;1;1
Philippines;Republic of the Philippines;Asia: South East;0;1;1
Poland;Republic of Poland;Europe: Eastern;0;1;0
Portugal;Republic of Portugal;Europe: Southern;0;1;0
Qatar;State of Qatar;Asia: Western;1;1;0
Republic of Korea;Republic of Korea;Asia: East;0;1;0
Romania;Romania;Europe: Eastern;0;1;0
Russian Federation;Russian Federation;Europe: Eastern;0;1;0
Rwanda;Republic of Rwanda;Africa: Eastern;0;1;1
Saint Kitts and Nevis;Saint Kitts and Nevis;Americas: Caribbean;0;1;0
Saint Lucia;Saint Lucia;Americas: Caribbean;0;1;1
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;Americas: Caribbean;0;1;1
Samoa;Independent State of Samoa;Oceania: Pacific Islands;0;1;1
San Marino;Republic of San Marino;Europe: Southern;0;1;0
Sao Tome and Principe;Democratic Republic of Sao Tome and Principe;Africa: Central;0;1;1
Saudi Arabia;Kingdom of Saudi Arabia;Asia: Western;1;1;0
Senegal;Republic of Senegal;Africa: Western;0;1;1
Serbia;Republic of Serbia;Europe: Southern;0;1;1
Seychelles;Republic of Seychelles;Africa: Eastern;0;1;1
